 # time (fs)    drift velocity (cm/s)    drift acceleration (cm/s2)
        2170.0000  -9.1042835580986403E+06  -8.5104713979847725E+02
        2180.0000  -9.1126621251447834E+06  -8.3785670461431141E+02
        2190.0000  -9.1209101797136161E+06  -8.2480545688327402E+02
        2200.0000  -9.1290291023411117E+06  -8.1189226274956013E+02
        2210.0000  -9.1370202623242978E+06  -7.9911599831860508E+02
        2220.0000  -9.1448850178191550E+06  -7.8647554948572065E+02
        2230.0000  -9.1526247159370854E+06  -7.7396981179304419E+02
        2240.0000  -9.1602406928399540E+06  -7.6159769028685992E+02
        2250.0000  -9.1677342738336623E+06  -7.4935809937082229E+02
        2260.0000  -9.1751067734603062E+06  -7.3724996266439553E+02
        2270.0000  -9.1823594955889434E+06  -7.2527221286371355E+02
        2280.0000  -9.1894937335049100E+06  -7.1342379159666598E+02
        2290.0000  -9.1965107699978463E+06  -7.0170364929363132E+02
        2300.0000  -9.2034118774484042E+06  -6.9011074505578722E+02
        2310.0000  -9.2101983179133348E+06  -6.7864404649306084E+02
        2320.0000  -9.2168713432097398E+06  -6.6730252964049578E+02
        2330.0000  -9.2234321949975155E+06  -6.5608517877757549E+02
        2340.0000  -9.2298821048608460E+06  -6.4499098633304243E+02
        2350.0000  -9.2362222943882793E+06  -6.3401895274333651E+02
        2360.0000  -9.2424539752516989E+06  -6.2316808634195479E+02
        2370.0000  -9.2485783492838070E+06  -6.1243740321081134E+02
        2380.0000  -9.2545966085546818E+06  -6.0182592708747836E+02
        2390.0000  -9.2605099354469087E+06  -5.9133268922269349E+02
        2400.0000  -9.2663195027297754E+06  -5.8095672828666864E+02
        2410.0000  -9.2720264736319706E+06  -5.7069709021952008E+02
        2420.0000  -9.2776320019135103E+06  -5.6055282815396788E+02
        2430.0000  -9.2831372319363374E+06  -5.5052300228271633E+02
        2440.0000  -9.2885432987338044E+06  -5.4060667974669491E+02
        2450.0000  -9.2938513280791659E+06  -5.3080293453615161E+02
        2460.0000  -9.2990624365529306E+06  -5.2111084737647320E+02
        2470.0000  -9.3041777316093296E+06  -5.1152950563989577E+02
        2480.0000  -9.3091983116414715E+06  -5.0205800321418792E+02
        2490.0000  -9.3141252660456616E+06  -4.9269544041901827E+02
        2500.0000  -9.3189596752849799E+06  -4.8344092393182217E+02
        2510.0000  -9.3237026109512150E+06  -4.7429356662351637E+02
        2520.0000  -9.3283551358266696E+06  -4.6525248754546044E+02
        2530.0000  -9.3329183039443810E+06  -4.5631681177113205E+02
        2540.0000  -9.3373931606477983E+06  -4.4748567034173755E+02
        2550.0000  -9.3417807426493634E+06  -4.3875820015650243E+02
        2560.0000  -9.3460820780883990E+06  -4.3013354390356687E+02
        2570.0000  -9.3502981865880396E+06  -4.2161084996405987E+02
        2580.0000  -9.3544300793112349E+06  -4.1318927231952546E+02
        2590.0000  -9.3584787590161767E+06  -4.0486797049418090E+02
        2600.0000  -9.3624452201107107E+06  -3.9664610945340246E+02
        2610.0000  -9.3663304487060849E+06  -3.8852285953741523E+02
        2620.0000  -9.3701354226697925E+06  -3.8049739637076857E+02
        2630.0000  -9.3738611116779819E+06  -3.7256890081893653E+02
        2640.0000  -9.3775084772667680E+06  -3.6473655887860804E+02
        2650.0000  -9.3810784728831146E+06  -3.5699956163465976E+02
        2660.0000  -9.3845720439348593E+06  -3.4935710517447444E+02
        2670.0000  -9.3879901278402377E+06  -3.4180839053783563E+02
        2680.0000  -9.3913336540765315E+06  -3.3435262362938374E+02
        2690.0000  -9.3946035442283396E+06  -3.2698901518080385E+02
        2700.0000  -9.3978007120350413E+06  -3.1971678067017348E+02
        2710.0000  -9.4009260634376779E+06  -3.1253514026366173E+02
        2720.0000  -9.4039804966254123E+06  -3.0544331877343359E+02
        2730.0000  -9.4069649020813145E+06  -2.9844054559022186E+02
        2740.0000  -9.4098801626275126E+06  -2.9152605461981148E+02
        2750.0000  -9.4127271534699872E+06  -2.8469908424746245E+02
        2760.0000  -9.4155067422427349E+06  -2.7795887727476656E+02
        2770.0000  -9.4182197890515197E+06  -2.7130468087848277E+02
        2780.0000  -9.4208671465170197E+06  -2.6473574655000118E+02
        2790.0000  -9.4234496598177347E+06  -2.5825133007150146E+02
        2800.0000  -9.4259681667321380E+06  -2.5185069144032894E+02
        2810.0000  -9.4284234976807162E+06  -2.4553309485781938E+02
        2820.0000  -9.4308164757673480E+06  -2.3929780866317452E+02
        2830.0000  -9.4331479168203510E+06  -2.3314410530030727E+02
        2840.0000  -9.4354186294332948E+06  -2.2707126129437239E+02
        2850.0000  -9.4376294150051381E+06  -2.2107855718433856E+02
        2860.0000  -9.4397810677802712E+06  -2.1516527751330287E+02
        2870.0000  -9.4418743748881780E+06  -2.0933071079067886E+02
        2880.0000  -9.4439101163826492E+06  -2.0357414944712073E+02
        2890.0000  -9.4458890652806833E+06  -1.9789488980341702E+02
        2900.0000  -9.4478119876012392E+06  -1.9229223205558955E+02
        2910.0000  -9.4496796424035542E+06  -1.8676548023149371E+02
        2920.0000  -9.4514927818253916E+06  -1.8131394218374044E+02
        2930.0000  -9.4532521511205342E+06  -1.7593692951425911E+02
        2940.0000  -9.4549584886966906E+06  -1.7063375761564822E+02
        2950.0000  -9.4566125261526443E+06  -1.6540374559536576E+02
        2960.0000  -9.4582149883153383E+06  -1.6024621626939626E+02
        2970.0000  -9.4597665932769421E+06  -1.5516049616038799E+02
        2980.0000  -9.4612680524313189E+06  -1.5014591543767602E+02
        2990.0000  -9.4627200705106016E+06  -1.4520180792827159E+02
        3000.0000  -9.4641233456215486E+06  -1.4032751109469683E+02
        3010.0000  -9.4654785692814477E+06  -1.3552236598990856E+02
        3020.0000  -9.4667864264543541E+06  -1.3078571729063987E+02
        3030.0000  -9.4680475955866072E+06  -1.2611691322531551E+02
        3040.0000  -9.4692627486426942E+06  -1.2151530560869723E+02
        3050.0000  -9.4704325511406586E+06  -1.1698024979643523E+02
        3060.0000  -9.4715576621874217E+06  -1.1251110467631369E+02
        3070.0000  -9.4726387345141713E+06  -1.0810723267495632E+02
        3080.0000  -9.4736764145113882E+06  -1.0376799972169101E+02
        3090.0000  -9.4746713422639463E+06  -9.9492775255814195E+01
        3100.0000  -9.4756241515860464E+06  -9.5280932210013276E+01
        3110.0000  -9.4765354700559787E+06  -9.1131846993230283E+01
        3120.0000  -9.4774059190510567E+06  -8.7044899507798249E+01
        3130.0000  -9.4782361137820650E+06  -8.3019473100826147E+01
        3140.0000  -9.4790266633281130E+06  -7.9054954604804522E+01
        3150.0000  -9.4797781706709918E+06  -7.5150734287872908E+01
        3160.0000  -9.4804912327298075E+06  -7.1306205881573263E+01
        3170.0000  -9.4811664403952565E+06  -6.7520766544900837E+01
        3180.0000  -9.4818043785641659E+06  -6.3793816890940072E+01
        3190.0000  -9.4824056261737589E+06  -6.0124760959297419E+01
        3200.0000  -9.4829707562359385E+06  -5.6513006217963991E+01
        3210.0000  -9.4835003358716033E+06  -5.2957963566482064E+01
        3220.0000  -9.4839949263449069E+06  -4.9459047330357137E+01
        3230.0000  -9.4844550830972996E+06  -4.6015675239264965E+01
        3240.0000  -9.4848813557819631E+06  -4.2627268466353414E+01
        3250.0000  -9.4852742882978078E+06  -3.9293251584470269E+01
        3260.0000  -9.4856344188237153E+06  -3.6013052590750156E+01
        3270.0000  -9.4859622798525710E+06  -3.2786102885566649E+01
        3280.0000  -9.4862583982256409E+06  -2.9611837306991220E+01
        3290.0000  -9.4865232951663118E+06  -2.6489694067090749E+01
        3300.0000  -9.4867574863145240E+06  -2.3419114821217953E+01
        3310.0000  -9.4869614817608744E+06  -2.0399544635042549E+01
        3320.0000  -9.4871357860805057E+06  -1.7430431963130832E+01
        3330.0000  -9.4872808983674850E+06  -1.4511228697933257E+01
        3340.0000  -9.4873973122687675E+06  -1.1641390128247441E+01
        3350.0000  -9.4874855160183571E+06  -8.8203749589622014E+00
        3360.0000  -9.4875459924714509E+06  -6.0476453093811866E+00
        3370.0000  -9.4875792191386167E+06  -3.3226667165756227E+00
        3380.0000  -9.4875856682198327E+06  -6.4490812160074706E-01
        3390.0000  -9.4875658066387326E+06   1.9861581100150942E+00
        3400.0000  -9.4875200960767195E+06   4.5710562013089655E+00
        3410.0000  -9.4874489930071365E+06   7.1103069582954053E+00
        3420.0000  -9.4873529487294909E+06   9.6044277645647522E+00
        3430.0000  -9.4872324094035756E+06   1.2053932591527701E+01
        3440.0000  -9.4870878160836548E+06   1.4459331992082298E+01
        3450.0000  -9.4869196047527976E+06   1.6821133085712791E+01
        3460.0000  -9.4867282063568700E+06   1.9139839592762293E+01
        3470.0000  -9.4865140468389913E+06   2.1415951787866653E+01
        3480.0000  -9.4862775471735504E+06   2.3649966544099151E+01
        3490.0000  -9.4860191234005503E+06   2.5842377300001679E+01
        3500.0000  -9.4857391866597999E+06   2.7993674075044691E+01
        3510.0000  -9.4854381432251763E+06   3.0104343462362884E+01
        3520.0000  -9.4851163945388682E+06   3.2174868630804120E+01
        3530.0000  -9.4847743372455221E+06   3.4205729334615171E+01
        3540.0000  -9.4844123632266410E+06   3.6197401888109745E+01
        3550.0000  -9.4840308596346583E+06   3.8150359198264781E+01
        3560.0000  -9.4836302089273091E+06   4.0065070734918116E+01
        3570.0000  -9.4832107889016867E+06   4.1942002562247218E+01
        3580.0000  -9.4827729727287274E+06   4.3781617295928299E+01
        3590.0000  -9.4823171289871391E+06   4.5584374158829448E+01
        3600.0000  -9.4818436216976903E+06   4.7350728944875300E+01
        3610.0000  -9.4813528103575986E+06   4.9081134009175003E+01
        3620.0000  -9.4808450499743223E+06   5.0776038327626885E+01
        3630.0000  -9.4803206911000442E+06   5.2435887427814308E+01
        3640.0000  -9.4797800798656922E+06   5.4061123435199264E+01
        3650.0000  -9.4792235580150094E+06   5.5652185068279508E+01
        3660.0000  -9.4786514629386514E+06   5.7209507635794580E+01
        3670.0000  -9.4780641277083009E+06   5.8733523035049437E+01
        3680.0000  -9.4774618811106589E+06   6.0224659764207900E+01
        3690.0000  -9.4768450476814900E+06   6.1683342916890979E+01
        3700.0000  -9.4762139477394819E+06   6.3109994200803342E+01
        3710.0000  -9.4755688974203505E+06   6.4505031913146382E+01
        3720.0000  -9.4749102087105326E+06   6.5868870981782678E+01
        3730.0000  -9.4742381894811988E+06   6.7201922933384779E+01
        3740.0000  -9.4735531435219329E+06   6.8504595926590270E+01
        3750.0000  -9.4728553705746699E+06   6.9777294726297256E+01
        3760.0000  -9.4721451663670819E+06   7.1020420758798721E+01
        3770.0000  -9.4714228226466421E+06   7.2234372043982148E+01
        3780.0000  -9.4706886272138767E+06   7.3419543276540935E+01
        3790.0000  -9.4699428639561515E+06   7.4576325772516427E+01
        3800.0000  -9.4691858128809240E+06   7.5705107522755867E+01
        3810.0000  -9.4684177501494400E+06   7.6806273148395121E+01
        3820.0000  -9.4676389481098447E+06   7.7880203959532082E+01
        3830.0000  -9.4668496753305662E+06   7.8927277927845722E+01
        3840.0000  -9.4660501966335569E+06   7.9947869700938469E+01
        3850.0000  -9.4652407731273826E+06   8.0942350617423656E+01
        3860.0000  -9.4644216622403320E+06   8.1911088705062866E+01
        3870.0000  -9.4635931177532580E+06   8.2854448707401758E+01
        3880.0000  -9.4627553898327257E+06   8.3772792053222659E+01
        3890.0000  -9.4619087250636276E+06   8.4666476909816268E+01
        3900.0000  -9.4610533664819244E+06   8.5535858170315620E+01
        3910.0000  -9.4601895536074415E+06   8.6381287448294458E+01
        3920.0000  -9.4593175224762373E+06   8.7203113120421762E+01
        3930.0000  -9.4584375056731030E+06   8.8001680313423279E+01
        3940.0000  -9.4575497323639635E+06   8.8777330913953477E+01
        3950.0000  -9.4566544283280596E+06   8.9530403590388602E+01
        3960.0000  -9.4557518159901798E+06   9.0261233787983656E+01
        3970.0000  -9.4548421144526005E+06   9.0970153757929808E+01
